index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
22,2 months,A662912,Cat,*Cosmo,domestic shorthair,chocolate,,2013-08-10 00:00:00,Partner,Transfer,10,2013
23,4 weeks,A677218,Cat,,domestic shorthair,brown,,2014-03-21 00:00:00,Partner,Transfer,4,2014
24,3 months,A691708,Cat,,domestic shorthair,brown ,white,2014-08-01 00:00:00,SCRP,Transfer,11,2014
25,1 year,A670066,Cat,*Sophie,domestic shorthair,Breed Specific,,2013-01-01 00:00:00,,Adoption,1,2014
26,2 months,A667511,Cat,,domestic mediumhair,brown,,2013-09-04 00:00:00,Suffering,Euthanasia,11,2013
27,6 years,A670656,Cat,Mischief,domestic shorthair,blue ,white,2008-01-11 00:00:00,,Return to Owner,1,2014
28,2 years,A688674,Cat,,domestic shorthair,black,white,2012-09-22 00:00:00,SCRP,Transfer,9,2014
29,2 weeks,A677633,Cat,,domestic shorthair,black,white,2014-04-12 00:00:00,Suffering,Euthanasia,4,2014
30,3 weeks,A688532,Cat,,domestic shorthair,orange,,2014-08-29 00:00:00,Partner,Transfer,9,2014
31,2 months,A687769,Cat,*Rose,domestic shorthair,brown,,2014-09-09 00:00:00,,Adoption,11,2014
32,3 months,A678060,Cat,,domestic shorthair,brown,,2014-03-19 00:00:00,Foster,Adoption,6,2014
33,2 years,A688036,Cat,,domestic shorthair,blue,,2012-09-13 00:00:00,SCRP,Transfer,9,2014
34,4 months,A663623,Cat,*Monkey,domestic shorthair,black,,2013-06-06 00:00:00,,Adoption,10,2013
35,2 months,A691706,Cat,Lucy,domestic longhair,brown,,2014-10-01 00:00:00,Foster,Adoption,12,2014
36,1 year,A667028,Cat,*Mike,domestic shorthair,orange,,2012-11-11 00:00:00,,Adoption,11,2013
37,2 years,A672190,Cat,*Magnolia,domestic shorthair,brown,,2012-02-05 00:00:00,Foster,Adoption,5,2014
38,2 months,A687138,Cat,*Winston,domestic shorthair,white,black,2014-08-06 00:00:00,,Adoption,10,2014
39,5 months,A662261,Cat,*Kim,domestic mediumhair,black,white,2013-07-24 00:00:00,Partner,Transfer,12,2013
40,3 months,A665799,Cat,*Alley,domestic shorthair,orange,,2013-07-23 00:00:00,,Adoption,11,2013
41,2 years,A673438,Cat,,domestic shorthair,brown,,2012-02-24 00:00:00,SCRP,Transfer,2,2014
42,1 month,A669140,Cat,*Martin,domestic shorthair,orange,,2013-10-24 00:00:00,Partner,Transfer,12,2013
43,8 years,A669576,Cat,,domestic shorthair,brown ,white,2005-12-23 00:00:00,Suffering,Euthanasia,12,2013
44,3 weeks,A685582,Cat,,domestic shorthair,black,white,2014-07-18 00:00:00,Partner,Transfer,8,2014
45,10 years,A684998,Cat,Tiki,domestic shorthair,black,white,2004-08-25 00:00:00,,Adoption,10,2014
46,2 months,A664486,Cat,*Taylor,domestic shorthair,orange,,2013-08-04 00:00:00,Partner,Transfer,10,2013
47,3 weeks,A689192,Cat,,domestic shorthair,blue ,white,2014-09-08 00:00:00,Suffering,Euthanasia,9,2014
48,8 years,A665019,Cat,*Amber,domestic shorthair,Breed Specific,,2005-10-12 00:00:00,,Adoption,12,2013
49,4 weeks,A684110,Cat,,domestic shorthair,orange ,white,2014-06-19 00:00:00,Suffering,Euthanasia,7,2014
50,3 years,A677014,Cat,Jenny,domestic shorthair,blue,white,2011-04-18 00:00:00,Partner,Transfer,6,2014
51,3 months,A677959,Cat,,domestic shorthair,blue,,2014-04-01 00:00:00,Foster,Adoption,7,2014
52,2 months,A680473,Cat,*Libby,domestic shorthair,brown,,2014-04-26 00:00:00,Foster,Adoption,7,2014
53,2 months,A690900,Cat,Rainy,domestic shorthair,orange ,white,2014-09-12 00:00:00,,Adoption,11,2014
54,5 months,A664437,Cat,,domestic shorthair,orange ,white,2013-05-03 00:00:00,SCRP,Transfer,10,2013
55,3 years,A683956,Cat,,domestic shorthair,orange,,2011-07-17 00:00:00,,Adoption,7,2014
56,3 years,A690029,Cat,,domestic shorthair,silver,,2011-10-13 00:00:00,SCRP,Transfer,10,2014
57,15 years,A678260,Cat,,domestic shorthair,blue,,1999-05-06 00:00:00,Partner,Transfer,5,2014
58,1 year,A672918,Cat,*Trinity,domestic shorthair,brown,,2012-08-18 00:00:00,,Adoption,3,2014
59,3 weeks,A681990,Cat,,domestic shorthair,brown,,2014-05-31 00:00:00,Partner,Transfer,6,2014
60,4 weeks,A683735,Cat,,domestic shorthair,black,,2014-06-23 00:00:00,Partner,Transfer,7,2014
61,2 weeks,A685607,Cat,,siamese,flame,,2014-07-25 00:00:00,Partner,Transfer,8,2014
62,10 months,A679736,Cat,,domestic shorthair,brown,,2013-07-25 00:00:00,SCRP,Transfer,5,2014
63,10 months,A671106,Cat,,domestic longhair,black,,2013-03-18 00:00:00,SCRP,Transfer,1,2014
64,11 months,A678573,Cat,*Orville,domestic shorthair,orange ,white,2013-06-10 00:00:00,,Adoption,6,2014
65,1 year,A626164,Cat,Salem,domestic shorthair,black,,2012-04-16 00:00:00,,Adoption,1,2014
66,1 year,A669753,Cat,*Ursula,domestic shorthair,brown,,2012-12-26 00:00:00,Partner,Transfer,1,2014
67,2 months,A687770,Cat,*Lily,domestic shorthair,Breed Specific,,2014-09-09 00:00:00,,Adoption,11,2014
68,3 years,A688206,Cat,Garfield,domestic longhair,orange,,2011-09-16 00:00:00,Partner,Transfer,9,2014
69,8 years,A667359,Cat,Garfield,domestic shorthair,white,orange,2005-11-16 00:00:00,,Return to Owner,11,2013
70,6 months,A686388,Cat,Mina,domestic shorthair,blue,,2014-03-01 00:00:00,,Adoption,9,2014
71,1 month,A684824,Cat,*Michonne,domestic shorthair,black,white,2014-06-29 00:00:00,Partner,Transfer,8,2014
72,5 months,A686978,Cat,,siamese,seal,,2014-03-29 00:00:00,SCRP,Transfer,8,2014
73,2 months,A680663,Cat,*Juliet,domestic shorthair,Breed Specific,,2014-04-05 00:00:00,,Adoption,6,2014
74,2 weeks,A681042,Cat,,domestic shorthair,blue,white,2014-05-27 00:00:00,Partner,Transfer,6,2014
75,2 months,A680414,Cat,*Twix,domestic shorthair,blue ,white,2014-04-17 00:00:00,Foster,Adoption,7,2014
76,1 month,A683224,Cat,,domestic shorthair,blue,,2014-05-24 00:00:00,Suffering,Euthanasia,7,2014
77,2 weeks,A677631,Cat,,domestic shorthair,black,white,2014-04-12 00:00:00,Partner,Transfer,4,2014
78,2 months,A677077,Cat,Novio,domestic mediumhair,orange,,2014-02-19 00:00:00,,Adoption,4,2014
79,2 months,A682239,Cat,*Rust,domestic shorthair,Breed Specific,,2014-05-25 00:00:00,Foster,Adoption,8,2014
80,6 months,A693905,Cat,,domestic shorthair,Breed Specific,,2014-06-16 00:00:00,SCRP,Transfer,12,2014
81,2 months,A680819,Cat,,domestic mediumhair,cream,,2014-03-24 00:00:00,,Adoption,6,2014
82,2 years,A692219,Cat,Jelly Bean,domestic shorthair,Breed Specific,,2012-11-16 00:00:00,SCRP,Transfer,11,2014
83,4 months,A688479,Cat,Cathy,domestic shorthair,Breed Specific,,2014-05-19 00:00:00,,Return to Owner,9,2014
84,1 month,A688741,Cat,*Kanga,domestic shorthair,Breed Specific,,2014-08-24 00:00:00,Partner,Transfer,10,2014
85,3 months,A664514,Cat,Zane,manx,brown ,white,2013-06-19 00:00:00,,Adoption,10,2013
86,1 year,A671065,Cat,Ron Weasley,domestic shorthair,orange,,2012-07-17 00:00:00,Partner,Transfer,1,2014
87,1 month,A678248,Cat,,domestic mediumhair,brown,,2014-04-06 00:00:00,Partner,Transfer,5,2014
88,16 years,A670616,Cat,Laurel,siamese,lynx,,1998-01-11 00:00:00,,Adoption,2,2014
89,2 months,A683161,Cat,,domestic longhair,blue,white,2014-04-15 00:00:00,,Adoption,7,2014
90,4 years,A575091,Cat,Luna,siamese,lynx,,2010-04-17 00:00:00,,Return to Owner,12,2014
91,2 months,A688074,Cat,Marley,domestic mediumhair,Breed Specific,,2014-06-30 00:00:00,,Adoption,9,2014
92,3 months,A664952,Cat,*Alice,domestic shorthair,black,,2013-09-11 00:00:00,Foster,Adoption,12,2013
93,3 years,A688011,Cat,Cuddles,domestic shorthair,blue,,2011-09-13 00:00:00,,Return to Owner,11,2014
94,6 years,A644391,Cat,*Pooh Bear,domestic shorthair,cream,,2007-12-26 00:00:00,,Adoption,11,2014
95,3 months,A688552,Cat,Tucker,domestic longhair,brown,,2014-08-20 00:00:00,Foster,Adoption,12,2014
96,3 weeks,A691086,Cat,,domestic shorthair,cream,,2014-10-07 00:00:00,Partner,Transfer,10,2014
97,1 month,A678917,Cat,*Louisa,domestic shorthair,Breed Specific,,2014-04-14 00:00:00,,Died,5,2014
98,1 year,A679999,Cat,,domestic mediumhair,orange ,white,2013-05-28 00:00:00,SCRP,Transfer,5,2014
99,2 weeks,A677713,Cat,,domestic shorthair,brown,,2014-04-09 00:00:00,Partner,Transfer,4,2014
100,1 month,A664638,Cat,*Minerva,domestic longhair,black,,2013-08-15 00:00:00,Partner,Transfer,10,2013
101,8 months,A688558,Cat,Tiney,domestic shorthair,orange,,2014-01-20 00:00:00,Partner,Transfer,10,2014
102,9 months,A689477,Cat,Buffy,domestic shorthair,Breed Specific,,2014-01-04 00:00:00,Partner,Transfer,10,2014
103,10 months,A667144,Cat,Delores,domestic shorthair,Breed Specific,,2013-01-13 00:00:00,,Adoption,11,2013
104,3 months,A689130,Cat,,domestic shorthair,brown,,2014-06-15 00:00:00,Partner,Transfer,9,2014
105,2 months,A687156,Cat,,domestic mediumhair,brown,,2014-06-16 00:00:00,,Adoption,9,2014
106,3 months,A691709,Cat,,domestic shorthair,brown,,2014-08-08 00:00:00,SCRP,Transfer,11,2014
107,4 months,A665661,Cat,Julia,domestic shorthair,white,black,2013-08-22 00:00:00,Foster,Adoption,12,2013
108,1 month,A679781,Cat,Scout,domestic shorthair,blue,,2014-04-28 00:00:00,,Adoption,6,2014
109,4 months,A667187,Cat,,domestic mediumhair,Breed Specific,,2013-07-14 00:00:00,SCRP,Transfer,11,2013
110,3 days,A681701,Cat,,domestic shorthair,brown ,white,2014-06-16 00:00:00,Suffering,Euthanasia,6,2014
111,4 months,A685901,Cat,,ragdoll,Breed Specific,,2014-04-14 00:00:00,SCRP,Transfer,8,2014
112,1 month,A688808,Cat,,domestic shorthair,blue,,2014-08-17 00:00:00,Partner,Transfer,9,2014
113,3 weeks,A677564,Cat,,domestic shorthair,black,,2014-04-04 00:00:00,Rabies Risk,Euthanasia,4,2014
114,6 months,A686753,Cat,*Truffle,domestic shorthair,Breed Specific,,2014-02-11 00:00:00,,Adoption,9,2014
115,1 month,A681157,Cat,,domestic shorthair,black,,2014-04-28 00:00:00,Medical,Euthanasia,6,2014
116,3 weeks,A688748,Cat,,domestic shorthair,brown,,2014-09-01 00:00:00,Partner,Transfer,9,2014
117,1 year,A671184,Cat,,domestic mediumhair,black,,2012-07-20 00:00:00,SCRP,Transfer,1,2014
118,3 months,A692887,Cat,Moby Dixson,domestic shorthair,blue,,2014-08-27 00:00:00,,Adoption,12,2014
119,3 months,A691711,Cat,,domestic shorthair,brown ,white,2014-08-08 00:00:00,SCRP,Transfer,11,2014
120,6 days,A679410,Cat,,domestic shorthair,black,white,2014-05-14 00:00:00,Partner,Transfer,5,2014
121,1 year,A664283,Cat,Juliet,domestic shorthair,black,white,2012-10-01 00:00:00,,Adoption,10,2013
122,2 years,A679085,Cat,*Elsa,siamese,lynx,,2012-05-16 00:00:00,,Adoption,5,2014
123,1 year,A673970,Cat,,domestic shorthair,orange,white,2013-03-05 00:00:00,Suffering,Euthanasia,3,2014
124,6 years,A676600,Cat,Sassy,domestic mediumhair,cream,,2008-04-12 00:00:00,,Return to Owner,4,2014
125,2 years,A628628,Cat,Nala,domestic shorthair,Breed Specific,,2012-03-30 00:00:00,,Adoption,7,2014
126,1 year,A676541,Cat,Tabs,domestic shorthair,Breed Specific,,2013-04-11 00:00:00,,Adoption,5,2014
127,1 month,A678653,Cat,Kaleysee,domestic mediumhair,Breed Specific,,2014-03-27 00:00:00,,Adoption,5,2014
128,3 years,A678951,Cat,Tiger,domestic shorthair,brown,,2011-05-14 00:00:00,,Adoption,5,2014
129,2 months,A668012,Cat,*Baxter,domestic shorthair,brown,,2013-10-19 00:00:00,Foster,Adoption,12,2013
130,3 weeks,A678837,Cat,,domestic shorthair,Breed Specific,white,2014-04-21 00:00:00,Partner,Transfer,5,2014
131,1 year,A690090,Cat,,domestic shorthair,black,white,2013-10-14 00:00:00,Partner,Transfer,10,2014
132,4 years,A677443,Cat,,domestic longhair,blue,white,2010-04-25 00:00:00,,Adoption,5,2014
133,1 year,A627272,Cat,Odessa,domestic shorthair,orange ,white,2012-04-15 00:00:00,,Adoption,3,2014
134,4 years,A589009,Cat,Rogue Momo,domestic shorthair,black,,2010-07-18 00:00:00,,Return to Owner,12,2014
135,11 years,A693245,Cat,Billy,domestic mediumhair,orange ,white,2003-12-04 00:00:00,,Return to Owner,12,2014
136,2 months,A679579,Cat,*Suzie,domestic shorthair,brown ,white,2014-04-16 00:00:00,Foster,Adoption,7,2014
137,4 months,A674688,Cat,Poppy,domestic shorthair,black,,2013-11-16 00:00:00,,Adoption,3,2014
138,10 years,A665668,Cat,Dylan,domestic shorthair,white,black,2003-10-21 00:00:00,Foster,Adoption,3,2014
139,3 months,A667007,Cat,*Azure,domestic shorthair,black,,2013-09-11 00:00:00,Partner,Transfer,12,2013
140,5 months,A675115,Cat,,domestic shorthair,Breed Specific,,2013-09-23 00:00:00,,Adoption,3,2014
141,2 months,A664442,Cat,*Candy Corn,domestic shorthair,black,,2013-08-12 00:00:00,,Adoption,10,2013
142,3 years,A689499,Cat,Kitty,domestic longhair,white,,2011-10-04 00:00:00,,Adoption,10,2014
143,5 weeks,A666677,Cat,*Max,domestic shorthair,orange ,white,2013-10-05 00:00:00,In Kennel,Died,11,2013
144,2 months,A674737,Cat,*Byron,domestic shorthair,black,,2014-03-15 00:00:00,Foster,Adoption,5,2014
145,9 months,A674564,Cat,Sirus,domestic shorthair,Breed Specific,,2013-06-15 00:00:00,Partner,Transfer,3,2014
146,1 week,A676440,Cat,,domestic shorthair,brown,,2014-04-03 00:00:00,Partner,Transfer,4,2014
147,2 months,A662822,Cat,*Kera,domestic shorthair,Breed Specific,,2013-08-16 00:00:00,Partner,Transfer,11,2013
148,4 weeks,A677216,Cat,,domestic shorthair,black,,2014-03-21 00:00:00,Partner,Transfer,4,2014
149,1 week,A687041,Cat,,domestic shorthair,Breed Specific,,2014-08-23 00:00:00,Partner,Transfer,8,2014
150,1 month,A689349,Cat,*Michonne,siamese,Breed Specific,,2014-08-26 00:00:00,Partner,Transfer,10,2014
151,1 year,A668549,Cat,*Dasher,siamese,flame,,2012-12-04 00:00:00,Partner,Transfer,12,2013
152,1 year,A635698,Cat,*Taco,domestic mediumhair,black,,2012-06-26 00:00:00,,Adoption,10,2013
153,3 months,A687495,Cat,,domestic shorthair,black,,2014-05-21 00:00:00,SCRP,Transfer,9,2014
154,3 months,A664070,Cat,,domestic shorthair,white,blue,2013-07-06 00:00:00,Partner,Transfer,10,2013
155,8 months,A668908,Cat,Hero,domestic shorthair,white,blue,2013-04-11 00:00:00,,Return to Owner,12,2013
156,2 years,A668683,Cat,*Joe,domestic shorthair,black,white,2011-12-07 00:00:00,,Adoption,12,2013
157,8 years,A676213,Cat,Buddy Buddy,domestic shorthair,Breed Specific,,2006-04-06 00:00:00,Partner,Transfer,4,2014
158,5 years,A674396,Cat,*Bonnie,siamese,Breed Specific,,2009-03-12 00:00:00,Partner,Transfer,3,2014
159,2 months,A686214,Cat,*Sam,domestic shorthair,white,black,2014-07-12 00:00:00,Partner,Transfer,10,2014
160,1 year,A683238,Cat,*Adam,domestic shorthair,cream,,2013-07-08 00:00:00,Partner,Transfer,8,2014
161,4 months,A680461,Cat,*Georgia,domestic shorthair,white,black,2014-05-03 00:00:00,Foster,Adoption,9,2014
162,2 months,A677282,Cat,*Castor,domestic shorthair,black,,2014-03-20 00:00:00,,Adoption,5,2014
163,8 months,A665145,Cat,*Stefan,domestic shorthair,cream,,2013-04-16 00:00:00,,Adoption,12,2013
164,1 year,A686795,Cat,,domestic shorthair,blue,,2013-02-27 00:00:00,Partner,Transfer,8,2014
165,5 weeks,A688059,Cat,*Tina,domestic shorthair,brown,,2014-08-13 00:00:00,Suffering,Euthanasia,9,2014
166,2 months,A688519,Cat,Sage,domestic shorthair,cream,,2014-07-29 00:00:00,,Adoption,10,2014
167,2 years,A682075,Cat,,domestic shorthair,brown,,2012-06-24 00:00:00,SCRP,Transfer,6,2014
168,1 year,A679737,Cat,,domestic mediumhair,black,white,2013-05-25 00:00:00,SCRP,Transfer,5,2014
169,3 weeks,A679717,Cat,,domestic shorthair,Breed Specific,,2014-05-03 00:00:00,Partner,Transfer,5,2014
170,10 years,A672589,Cat,,domestic mediumhair,orange,,2004-02-13 00:00:00,Suffering,Euthanasia,2,2014
171,3 months,A672516,Cat,,domestic shorthair,brown,,2013-11-11 00:00:00,SCRP,Transfer,2,2014
172,1 year,A666154,Cat,Gizmo,domestic shorthair,Breed Specific,,2012-10-28 00:00:00,,Adoption,12,2013
173,1 year,A670830,Cat,*Baby,domestic shorthair,Breed Specific,,2013-01-14 00:00:00,,Adoption,1,2014
174,8 months,A674282,Cat,*Bobby,domestic shorthair,brown,,2013-07-11 00:00:00,,Adoption,4,2014
175,3 weeks,A683186,Cat,,domestic shorthair,white,blue,2014-06-23 00:00:00,Partner,Transfer,7,2014
176,2 months,A691275,Cat,*Cinnamon,domestic shorthair,brown,,2014-09-25 00:00:00,,Adoption,12,2014
177,5 years,A674726,Cat,Mittens,domestic shorthair,blue,white,2009-03-17 00:00:00,,Return to Owner,3,2014
178,2 months,A685949,Cat,*Lexi,domestic mediumhair,black,white,2014-05-23 00:00:00,,Adoption,8,2014
179,8 months,A670892,Cat,*Faith,domestic mediumhair,black,white,2013-05-15 00:00:00,,Adoption,1,2014
180,6 months,A678198,Cat,Sassy,domestic longhair,Breed Specific,,2013-11-05 00:00:00,Partner,Transfer,5,2014
181,3 weeks,A689268,Cat,,domestic shorthair,black,white,2014-09-09 00:00:00,Partner,Transfer,10,2014
182,2 months,A679696,Cat,*Jenna,domestic shorthair,Breed Specific,,2014-04-24 00:00:00,,Adoption,7,2014
183,1 year,A682837,Cat,Trouble,domestic shorthair,blue,,2013-07-03 00:00:00,SCRP,Transfer,7,2014
184,3 days,A681531,Cat,,domestic longhair,black,,2014-06-15 00:00:00,Partner,Transfer,6,2014
185,9 months,A676170,Cat,Chuy,domestic shorthair,orange,,2013-07-05 00:00:00,,Adoption,4,2014
186,1 year,A688321,Cat,*Jenny,domestic shorthair,orange ,white,2013-09-18 00:00:00,Suffering,Euthanasia,9,2014
187,2 years,A678650,Cat,Evans,siamese,seal,,2012-05-13 00:00:00,,Return to Owner,5,2014
188,3 months,A686466,Cat,,domestic shorthair,brown,,2014-04-30 00:00:00,SCRP,Transfer,8,2014
189,3 months,A679923,Cat,Tifa,domestic shorthair,brown,,2014-04-11 00:00:00,,Adoption,7,2014
190,2 years,A668405,Cat,Ceelo,domestic shorthair,orange ,white,2011-12-03 00:00:00,,Return to Owner,12,2013
191,4 months,A669603,Cat,*Gimpy Cb,siamese,flame,,2013-08-23 00:00:00,Suffering,Euthanasia,12,2013
192,2 days,A682002,Cat,,domestic shorthair,Breed Specific,,2014-06-20 00:00:00,Partner,Transfer,6,2014
193,2 months,A685147,Cat,Luke,domestic shorthair,brown ,white,2014-07-07 00:00:00,Foster,Adoption,9,2014
194,3 days,A675482,Cat,,domestic shorthair,blue,white,2014-03-25 00:00:00,Partner,Transfer,3,2014
195,1 year,A669791,Cat,,domestic shorthair,Breed Specific,,2012-12-27 00:00:00,SCRP,Transfer,12,2013
196,1 year,A689965,Cat,,domestic shorthair,brown,,2013-10-12 00:00:00,Suffering,Euthanasia,10,2014
197,7 months,A688158,Cat,,domestic mediumhair,Breed Specific,,2014-02-15 00:00:00,SCRP,Transfer,9,2014
198,1 month,A688809,Cat,,domestic shorthair,blue,,2014-08-17 00:00:00,Partner,Transfer,9,2014
199,1 year,A675125,Cat,,domestic shorthair,blue,,2013-03-23 00:00:00,Suffering,Euthanasia,3,2014
200,3 weeks,A689193,Cat,,domestic shorthair,blue,,2014-09-08 00:00:00,Suffering,Euthanasia,9,2014
201,3 weeks,A683797,Cat,,domestic shorthair,brown,,2014-06-23 00:00:00,Partner,Transfer,7,2014
202,2 years,A678823,Cat,,domestic shorthair,brown,,2012-05-13 00:00:00,SCRP,Transfer,5,2014
203,5 years,A627604,Cat,*S'Mores,snowshoe/domestic shorthair,white,seal,2009-05-19 00:00:00,Partner,Transfer,11,2014
204,1 year,A688096,Cat,Khloe,domestic shorthair,white,,2013-03-14 00:00:00,,Adoption,9,2014
205,3 years,A679292,Cat,,domestic shorthair,black,white,2011-05-19 00:00:00,At Vet,Died,5,2014
206,5 days,A687682,Cat,,domestic shorthair,blue,,2014-09-03 00:00:00,Partner,Transfer,9,2014
207,1 month,A689146,Cat,,domestic shorthair,Breed Specific,,2014-08-21 00:00:00,Rabies Risk,Euthanasia,10,2014
208,3 weeks,A679452,Cat,,domestic shorthair,brown,,2014-04-29 00:00:00,Partner,Transfer,5,2014
209,2 months,A674929,Cat,*Sugar,domestic shorthair,brown ,white,2014-02-13 00:00:00,Foster,Adoption,4,2014
210,4 weeks,A680094,Cat,,domestic shorthair,black,white,2014-04-29 00:00:00,Suffering,Euthanasia,5,2014
211,2 months,A683657,Cat,Spruce,domestic shorthair,blue,,2014-04-28 00:00:00,,Adoption,7,2014
212,2 years,A668746,Cat,Luckey,domestic mediumhair,blue,,2011-12-08 00:00:00,,Adoption,12,2013
213,4 months,A687017,Cat,,domestic shorthair,orange ,white,2014-04-15 00:00:00,SCRP,Transfer,8,2014
214,1 year,A675462,Cat,Pia,domestic shorthair,black,,2013-03-28 00:00:00,,Adoption,4,2014
215,3 months,A668328,Cat,*Sophie,domestic shorthair,brown,,2013-08-20 00:00:00,,Adoption,12,2013
216,1 year,A671160,Cat,,domestic shorthair,Breed Specific,,2013-01-19 00:00:00,SCRP,Transfer,1,2014
217,7 months,A665084,Cat,,domestic shorthair,Breed Specific,,2013-02-13 00:00:00,SCRP,Transfer,10,2013
218,4 months,A689634,Cat,,domestic shorthair,black,white,2014-06-07 00:00:00,SCRP,Transfer,10,2014
219,3 weeks,A688598,Cat,,domestic shorthair,Breed Specific,,2014-08-30 00:00:00,Partner,Transfer,9,2014
220,2 years,A680868,Cat,,domestic longhair,orange ,white,2012-06-09 00:00:00,SCRP,Transfer,6,2014
221,2 months,A679031,Cat,*Pete,domestic shorthair,orange,,2014-03-15 00:00:00,,Adoption,5,2014
222,1 year,A665666,Cat,*Teddy,domestic shorthair,black,,2012-10-21 00:00:00,Partner,Transfer,12,2013
223,1 year,A684011,Cat,,domestic shorthair,brown,,2013-07-18 00:00:00,SCRP,Transfer,7,2014
224,1 month,A680380,Cat,,domestic shorthair,brown,,2014-05-11 00:00:00,In Foster,Died,7,2014
225,1 week,A685282,Cat,,domestic shorthair,cream,,2014-07-29 00:00:00,Partner,Transfer,8,2014
226,1 year,A684441,Cat,,domestic shorthair,brown ,white,2013-07-23 00:00:00,Suffering,Euthanasia,7,2014
227,3 weeks,A681828,Cat,,domestic shorthair,black,,2014-05-29 00:00:00,Partner,Transfer,6,2014
228,2 weeks,A688627,Cat,,domestic shorthair,cream,,2014-09-04 00:00:00,Partner,Transfer,9,2014
229,2 months,A686974,Cat,*Beau,russian blue,blue,,2014-06-29 00:00:00,,Adoption,9,2014
230,5 months,A686736,Cat,,domestic shorthair,blue ,white,2014-02-26 00:00:00,SCRP,Transfer,8,2014
231,15 years,A690326,Cat,Mitzy,domestic shorthair,Breed Specific,,1999-10-18 00:00:00,Partner,Transfer,10,2014
232,3 years,A692370,Cat,,domestic shorthair,brown ,white,2011-11-19 00:00:00,SCRP,Transfer,11,2014
233,2 years,A686063,Cat,,domestic mediumhair,black,,2012-08-16 00:00:00,Suffering,Euthanasia,8,2014
234,2 months,A683415,Cat,Socks,domestic shorthair,blue ,white,2014-04-18 00:00:00,,Adoption,7,2014
235,2 months,A680129,Cat,*Hugh,siamese,flame,,2014-04-15 00:00:00,Foster,Adoption,7,2014
236,5 months,A688995,Cat,,domestic shorthair,brown,,2014-04-27 00:00:00,SCRP,Transfer,9,2014
237,6 years,A650349,Cat,Ethel,domestic shorthair,Breed Specific,,2007-03-27 00:00:00,Partner,Transfer,12,2013
238,1 year,A668323,Cat,,domestic mediumhair,brown ,white,2012-12-02 00:00:00,SCRP,Transfer,12,2013
239,6 days,A674755,Cat,,domestic shorthair,blue ,white,2014-03-12 00:00:00,Partner,Transfer,3,2014
240,7 months,A662943,Cat,*Harry,domestic shorthair,black,,2013-03-10 00:00:00,,Adoption,10,2013
241,1 month,A679310,Cat,,domestic shorthair,blue,white,2014-05-17 00:00:00,In Foster,Died,7,2014
242,2 years,A680242,Cat,*Darwen,domestic shorthair,brown,,2012-05-31 00:00:00,SCRP,Transfer,6,2014
